review,sentiment,tokenized_review,lemmatized_review
one note ventilation could use upgrading,negative,"['one', 'note', 'ventilation', 'could', 'use', 'upgrading']",one note ventilation could use upgrading
great pork sandwich,positive,"['great', 'pork', 'sandwich']",great pork sandwich
not waste time,negative,"['not', 'waste', 'time']",not waste time
total letdown would much rather go camelback flower shop cartel coffee,negative,"['total', 'letdown', 'would', 'much', 'rather', 'go', 'camelback', 'flower', 'shop', 'cartel', 'coffee']",total letdown would much rather go camelback flower shop cartel coffee
third cheese friends burger cold,negative,"['third', 'cheese', 'friends', 'burger', 'cold']",third cheese friend burger cold
enjoy pizza brunch,positive,"['enjoy', 'pizza', 'brunch']",enjoy pizza brunch
steaks well trimmed also perfectly cooked,positive,"['steaks', 'well', 'trimmed', 'also', 'perfectly', 'cooked']",steak well trimmed also perfectly cooked
group 70 claimed would 40 handled us beautifully,positive,"['group', '70', 'claimed', 'would', '40', 'handled', 'us', 'beautifully']",group 70 claimed would 40 handled u beautifully
loved,positive,['loved'],loved
asked bill leave without eating not bring either,negative,"['asked', 'bill', 'leave', 'without', 'eating', 'not', 'bring', 'either']",asked bill leave without eating not bring either
place jewel las vegas exactly hoping find nearly ten years living,positive,"['place', 'jewel', 'las', 'vegas', 'exactly', 'hoping', 'find', 'nearly', 'ten', 'years', 'living']",place jewel la vega exactly hoping find nearly ten year living
seafood limited boiled shrimp crab legs crab legs definitely not taste fresh,negative,"['seafood', 'limited', 'boiled', 'shrimp', 'crab', 'legs', 'crab', 'legs', 'definitely', 'not', 'taste', 'fresh']",seafood limited boiled shrimp crab leg crab leg definitely not taste fresh
selection food not best,negative,"['selection', 'food', 'not', 'best']",selection food not best
delicious absolutely back,positive,"['delicious', 'absolutely', 'back']",delicious absolutely back
not small family restaurant fine dining establishment,positive,"['not', 'small', 'family', 'restaurant', 'fine', 'dining', 'establishment']",not small family restaurant fine dining establishment
toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,positive,"['toro', 'tartare', 'cavier', 'extraordinary', 'liked', 'thinly', 'sliced', 'wagyu', 'white', 'truffle']",toro tartare cavier extraordinary liked thinly sliced wagyu white truffle
not think back long time,negative,"['not', 'think', 'back', 'long', 'time']",not think back long time
attached gas station rarely good sign,negative,"['attached', 'gas', 'station', 'rarely', 'good', 'sign']",attached gas station rarely good sign
awesome,positive,['awesome'],awesome
back many times soon,positive,"['back', 'many', 'times', 'soon']",back many time soon
menu much good stuff could not decide,positive,"['menu', 'much', 'good', 'stuff', 'could', 'not', 'decide']",menu much good stuff could not decide
worse humiliated worker right front mebunch horrible name callings,negative,"['worse', 'humiliated', 'worker', 'right', 'front', 'mebunch', 'horrible', 'name', 'callings']",worse humiliated worker right front mebunch horrible name calling
conclusion filling meals,positive,"['conclusion', 'filling', 'meals']",conclusion filling meal
daily specials always hit group,positive,"['daily', 'specials', 'always', 'hit', 'group']",daily special always hit group
tragedy struck,negative,"['tragedy', 'struck']",tragedy struck
pancake also really good pretty large,positive,"['pancake', 'also', 'really', 'good', 'pretty', 'large']",pancake also really good pretty large
first crawfish experience delicious,positive,"['first', 'crawfish', 'experience', 'delicious']",first crawfish experience delicious
monster chicken fried steak eggs time favorite,positive,"['monster', 'chicken', 'fried', 'steak', 'eggs', 'time', 'favorite']",monster chicken fried steak egg time favorite
waitress sweet funny,positive,"['waitress', 'sweet', 'funny']",waitress sweet funny
also taste moms multigrain pumpkin pancakes pecan butter amazing fluffy delicious,positive,"['also', 'taste', 'moms', 'multigrain', 'pumpkin', 'pancakes', 'pecan', 'butter', 'amazing', 'fluffy', 'delicious']",also taste mom multigrain pumpkin pancake pecan butter amazing fluffy delicious
id rather eat airline food seriously,negative,"['id', 'rather', 'eat', 'airline', 'food', 'seriously']",id rather eat airline food seriously
cannot say enough good things place,positive,"['can', 'not', 'say', 'enough', 'good', 'things', 'place']",can not say enough good thing place
ambiance incredible,positive,"['ambiance', 'incredible']",ambiance incredible
waitress manager friendly,positive,"['waitress', 'manager', 'friendly']",waitress manager friendly
would not recommend place,negative,"['would', 'not', 'recommend', 'place']",would not recommend place
overall not impressed noca,negative,"['overall', 'not', 'impressed', 'noca']",overall not impressed noca
gyro basically lettuce,negative,"['gyro', 'basically', 'lettuce']",gyro basically lettuce
terrible service,negative,"['terrible', 'service']",terrible service
thoroughly disappointed,negative,"['thoroughly', 'disappointed']",thoroughly disappointed
not much pasta love homemade hand made pastas thin pizzas,positive,"['not', 'much', 'pasta', 'love', 'homemade', 'hand', 'made', 'pastas', 'thin', 'pizzas']",not much pasta love homemade hand made pasta thin pizza
give try happy,positive,"['give', 'try', 'happy']",give try happy
far best cheesecurds ever,positive,"['far', 'best', 'cheesecurds', 'ever']",far best cheesecurds ever
reasonably priced also,positive,"['reasonably', 'priced', 'also']",reasonably priced also
everything perfect night,positive,"['everything', 'perfect', 'night']",everything perfect night
food good typical bar food,positive,"['food', 'good', 'typical', 'bar', 'food']",food good typical bar food
drive get,negative,"['drive', 'get']",drive get
first glance lovely bakery cafe nice ambiance clean friendly staff,positive,"['first', 'glance', 'lovely', 'bakery', 'cafe', 'nice', 'ambiance', 'clean', 'friendly', 'staff']",first glance lovely bakery cafe nice ambiance clean friendly staff
anyway not think go back,negative,"['anyway', 'not', 'think', 'go', 'back']",anyway not think go back
point finger item menu order not disappointed,positive,"['point', 'finger', 'item', 'menu', 'order', 'not', 'disappointed']",point finger item menu order not disappointed
oh thing beauty restaurant,positive,"['oh', 'thing', 'beauty', 'restaurant']",oh thing beauty restaurant
not gone go,positive,"['not', 'gone', 'go']",not gone go
greasy unhealthy meal,negative,"['greasy', 'unhealthy', 'meal']",greasy unhealthy meal
first time might last,negative,"['first', 'time', 'might', 'last']",first time might last
burgers amazing,positive,"['burgers', 'amazing']",burger amazing
similarly delivery man not say word apology food 45 minutes late,negative,"['similarly', 'delivery', 'man', 'not', 'say', 'word', 'apology', 'food', '45', 'minutes', 'late']",similarly delivery man not say word apology food 45 minute late
way expensive,negative,"['way', 'expensive']",way expensive
sure order dessert even need pack togo tiramisu cannoli die,positive,"['sure', 'order', 'dessert', 'even', 'need', 'pack', 'togo', 'tiramisu', 'cannoli', 'die']",sure order dessert even need pack togo tiramisu cannoli die
first time cannot wait next,positive,"['first', 'time', 'can', 'not', 'wait', 'next']",first time can not wait next
bartender also nice,positive,"['bartender', 'also', 'nice']",bartender also nice
everything good tasty,positive,"['everything', 'good', 'tasty']",everything good tasty
place two thumbs upway,positive,"['place', 'two', 'thumbs', 'upway']",place two thumb upway
best place vegas breakfast check sat sun,positive,"['best', 'place', 'vegas', 'breakfast', 'check', 'sat', 'sun']",best place vega breakfast check sat sun
love authentic mexican food want whole bunch interesting yet delicious meats choose need try place,positive,"['love', 'authentic', 'mexican', 'food', 'want', 'whole', 'bunch', 'interesting', 'yet', 'delicious', 'meats', 'choose', 'need', 'try', 'place']",love authentic mexican food want whole bunch interesting yet delicious meat choose need try place
terrible management,negative,"['terrible', 'management']",terrible management
excellent new restaurant experienced frenchman,positive,"['excellent', 'new', 'restaurant', 'experienced', 'frenchman']",excellent new restaurant experienced frenchman
zero stars would give zero stars,negative,"['zero', 'stars', 'would', 'give', 'zero', 'stars']",zero star would give zero star
great steak great sides great wine amazing desserts,positive,"['great', 'steak', 'great', 'sides', 'great', 'wine', 'amazing', 'desserts']",great steak great side great wine amazing dessert
worst martini ever,negative,"['worst', 'martini', 'ever']",worst martini ever
steak shrimp opinion best entrees gc,positive,"['steak', 'shrimp', 'opinion', 'best', 'entrees', 'gc']",steak shrimp opinion best entree gc
opportunity today sample amazing pizzas,positive,"['opportunity', 'today', 'sample', 'amazing', 'pizzas']",opportunity today sample amazing pizza
waited thirty minutes seated although 8 vacant tables folks waiting,negative,"['waited', 'thirty', 'minutes', 'seated', 'although', '8', 'vacant', 'tables', 'folks', 'waiting']",waited thirty minute seated although 8 vacant table folk waiting
yellowtail carpaccio melt mouth fresh,positive,"['yellowtail', 'carpaccio', 'melt', 'mouth', 'fresh']",yellowtail carpaccio melt mouth fresh
not try going back even empty,negative,"['not', 'try', 'going', 'back', 'even', 'empty']",not try going back even empty
no going eat potato found strangers hair,negative,"['no', 'going', 'eat', 'potato', 'found', 'strangers', 'hair']",no going eat potato found stranger hair
spicy enough perfect actually,positive,"['spicy', 'enough', 'perfect', 'actually']",spicy enough perfect actually
last night second time dining happy decided go back,positive,"['last', 'night', 'second', 'time', 'dining', 'happy', 'decided', 'go', 'back']",last night second time dining happy decided go back
not even hello right,negative,"['not', 'even', 'hello', 'right']",not even hello right
desserts bit strange,negative,"['desserts', 'bit', 'strange']",dessert bit strange
boyfriend came first time recent trip vegas could not pleased quality food service,positive,"['boyfriend', 'came', 'first', 'time', 'recent', 'trip', 'vegas', 'could', 'not', 'pleased', 'quality', 'food', 'service']",boyfriend came first time recent trip vega could not pleased quality food service
really recommend place go wrong donut place,positive,"['really', 'recommend', 'place', 'go', 'wrong', 'donut', 'place']",really recommend place go wrong donut place
nice ambiance,positive,"['nice', 'ambiance']",nice ambiance
would recommend saving room,positive,"['would', 'recommend', 'saving', 'room']",would recommend saving room
guess maybe went night disgraceful,negative,"['guess', 'maybe', 'went', 'night', 'disgraceful']",guess maybe went night disgraceful
however recent experience particular location not good,negative,"['however', 'recent', 'experience', 'particular', 'location', 'not', 'good']",however recent experience particular location not good
know not like restaurants something,negative,"['know', 'not', 'like', 'restaurants', 'something']",know not like restaurant something
avoid establishment,negative,"['avoid', 'establishment']",avoid establishment
think restaurant suffers not trying hard enough,negative,"['think', 'restaurant', 'suffers', 'not', 'trying', 'hard', 'enough']",think restaurant suffers not trying hard enough
tapas dishes delicious,positive,"['tapas', 'dishes', 'delicious']",tapa dish delicious
heart place,positive,"['heart', 'place']",heart place
salad bland vinegrette baby greens hearts palm,negative,"['salad', 'bland', 'vinegrette', 'baby', 'greens', 'hearts', 'palm']",salad bland vinegrette baby green heart palm
two felt disgusting,negative,"['two', 'felt', 'disgusting']",two felt disgusting
good time,positive,"['good', 'time']",good time
believe place great stop huge belly hankering sushi,positive,"['believe', 'place', 'great', 'stop', 'huge', 'belly', 'hankering', 'sushi']",believe place great stop huge belly hankering sushi
generous portions great taste,positive,"['generous', 'portions', 'great', 'taste']",generous portion great taste
never go back place never ever recommended place anyone,negative,"['never', 'go', 'back', 'place', 'never', 'ever', 'recommended', 'place', 'anyone']",never go back place never ever recommended place anyone
servers went back forth several times not even much helped,negative,"['servers', 'went', 'back', 'forth', 'several', 'times', 'not', 'even', 'much', 'helped']",server went back forth several time not even much helped
food delicious,positive,"['food', 'delicious']",food delicious
hour seriously,negative,"['hour', 'seriously']",hour seriously
consider theft,negative,"['consider', 'theft']",consider theft
eew location needs complete overhaul,negative,"['eew', 'location', 'needs', 'complete', 'overhaul']",eew location need complete overhaul
recently witnessed poor quality management towards guests well,negative,"['recently', 'witnessed', 'poor', 'quality', 'management', 'towards', 'guests', 'well']",recently witnessed poor quality management towards guest well
waited waited waited,negative,"['waited', 'waited', 'waited']",waited waited waited
also came back check us regularly excellent service,positive,"['also', 'came', 'back', 'check', 'us', 'regularly', 'excellent', 'service']",also came back check u regularly excellent service
server super nice checked us many times,positive,"['server', 'super', 'nice', 'checked', 'us', 'many', 'times']",server super nice checked u many time
pizza tasted old super chewy not good way,negative,"['pizza', 'tasted', 'old', 'super', 'chewy', 'not', 'good', 'way']",pizza tasted old super chewy not good way
swung give try deeply disappointed,negative,"['swung', 'give', 'try', 'deeply', 'disappointed']",swung give try deeply disappointed
service good company better,positive,"['service', 'good', 'company', 'better']",service good company better
staff also friendly efficient,positive,"['staff', 'also', 'friendly', 'efficient']",staff also friendly efficient
service fan quick served nice folks,positive,"['service', 'fan', 'quick', 'served', 'nice', 'folks']",service fan quick served nice folk
boy sucker dry,negative,"['boy', 'sucker', 'dry']",boy sucker dry
rated,negative,['rated'],rated
look authentic thai food go else,negative,"['look', 'authentic', 'thai', 'food', 'go', 'else']",look authentic thai food go else
steaks 100 recommended,positive,"['steaks', '100', 'recommended']",steak 100 recommended
pulled car waited another 15 minutes acknowledged,negative,"['pulled', 'car', 'waited', 'another', '15', 'minutes', 'acknowledged']",pulled car waited another 15 minute acknowledged
great food great service clean friendly setting,positive,"['great', 'food', 'great', 'service', 'clean', 'friendly', 'setting']",great food great service clean friendly setting
assure ill back,positive,"['assure', 'ill', 'back']",assure ill back
hate things much cheap quality black olives,negative,"['hate', 'things', 'much', 'cheap', 'quality', 'black', 'olives']",hate thing much cheap quality black olive
breakfast perpared great beautiful presentation 3 giant slices toast lightly dusted powdered sugar,positive,"['breakfast', 'perpared', 'great', 'beautiful', 'presentation', '3', 'giant', 'slices', 'toast', 'lightly', 'dusted', 'powdered', 'sugar']",breakfast perpared great beautiful presentation 3 giant slice toast lightly dusted powdered sugar
kids play area nasty,negative,"['kids', 'play', 'area', 'nasty']",kid play area nasty
great place fo take eat,positive,"['great', 'place', 'fo', 'take', 'eat']",great place fo take eat
waitress friendly happy accomodate veganveggie options,positive,"['waitress', 'friendly', 'happy', 'accomodate', 'veganveggie', 'options']",waitress friendly happy accomodate veganveggie option
omg felt like never eaten thai food dish,positive,"['omg', 'felt', 'like', 'never', 'eaten', 'thai', 'food', 'dish']",omg felt like never eaten thai food dish
extremely crumby pretty tasteless,negative,"['extremely', 'crumby', 'pretty', 'tasteless']",extremely crumby pretty tasteless
pale color instead nice char no flavor,negative,"['pale', 'color', 'instead', 'nice', 'char', 'no', 'flavor']",pale color instead nice char no flavor
croutons also taste homemade extra plus,positive,"['croutons', 'also', 'taste', 'homemade', 'extra', 'plus']",crouton also taste homemade extra plus
got home see driest damn wings ever,negative,"['got', 'home', 'see', 'driest', 'damn', 'wings', 'ever']",got home see driest damn wing ever
regular stop trips phoenix,positive,"['regular', 'stop', 'trips', 'phoenix']",regular stop trip phoenix
really enjoyed crema café expanded even told friends best breakfast,positive,"['really', 'enjoyed', 'crema', 'café', 'expanded', 'even', 'told', 'friends', 'best', 'breakfast']",really enjoyed crema café expanded even told friend best breakfast
not good money,negative,"['not', 'good', 'money']",not good money
miss wish one philadelphia,positive,"['miss', 'wish', 'one', 'philadelphia']",miss wish one philadelphia
got sitting fairly fast ended waiting 40 minutes place order another 30 minutes food arrived,negative,"['got', 'sitting', 'fairly', 'fast', 'ended', 'waiting', '40', 'minutes', 'place', 'order', 'another', '30', 'minutes', 'food', 'arrived']",got sitting fairly fast ended waiting 40 minute place order another 30 minute food arrived
also best cheese crisp town,positive,"['also', 'best', 'cheese', 'crisp', 'town']",also best cheese crisp town
good value great food great service,positive,"['good', 'value', 'great', 'food', 'great', 'service']",good value great food great service
could not ask satisfying meal,positive,"['could', 'not', 'ask', 'satisfying', 'meal']",could not ask satisfying meal
wanted leave,negative,"['wanted', 'leave']",wanted leave
made drive way north scottsdale not one bit disappointed,positive,"['made', 'drive', 'way', 'north', 'scottsdale', 'not', 'one', 'bit', 'disappointed']",made drive way north scottsdale not one bit disappointed
not eating,negative,"['not', 'eating']",not eating
owners really really need quit soooooo cheap let wrap freaking sandwich two papers not one,negative,"['owners', 'really', 'really', 'need', 'quit', 'soooooo', 'cheap', 'let', 'wrap', 'freaking', 'sandwich', 'two', 'papers', 'not', 'one']",owner really really need quit soooooo cheap let wrap freaking sandwich two paper not one
checked place couple years ago not impressed,negative,"['checked', 'place', 'couple', 'years', 'ago', 'not', 'impressed']",checked place couple year ago not impressed
chicken got definitely reheated ok wedges cold soggy,negative,"['chicken', 'got', 'definitely', 'reheated', 'ok', 'wedges', 'cold', 'soggy']",chicken got definitely reheated ok wedge cold soggy
sorry not getting food anytime soon,negative,"['sorry', 'not', 'getting', 'food', 'anytime', 'soon']",sorry not getting food anytime soon
absolute must visit,positive,"['absolute', 'must', 'visit']",absolute must visit
cow tongue cheek tacos amazing,positive,"['cow', 'tongue', 'cheek', 'tacos', 'amazing']",cow tongue cheek taco amazing
friend not like bloody mary,negative,"['friend', 'not', 'like', 'bloody', 'mary']",friend not like bloody mary
despite hard rate businesses actually rare give 1 star,negative,"['despite', 'hard', 'rate', 'businesses', 'actually', 'rare', 'give', '1', 'star']",despite hard rate business actually rare give 1 star
really want make experience good one,positive,"['really', 'want', 'make', 'experience', 'good', 'one']",really want make experience good one
not return,negative,"['not', 'return']",not return
chicken pho tasted bland,negative,"['chicken', 'pho', 'tasted', 'bland']",chicken pho tasted bland
disappointing,negative,['disappointing'],disappointing
grilled chicken tender yellow saffron seasoning,positive,"['grilled', 'chicken', 'tender', 'yellow', 'saffron', 'seasoning']",grilled chicken tender yellow saffron seasoning
drive thru means not want wait around half hour food somehow end going make us wait wait,negative,"['drive', 'thru', 'means', 'not', 'want', 'wait', 'around', 'half', 'hour', 'food', 'somehow', 'end', 'going', 'make', 'us', 'wait', 'wait']",drive thru mean not want wait around half hour food somehow end going make u wait wait
pretty awesome place,positive,"['pretty', 'awesome', 'place']",pretty awesome place
ambience perfect,positive,"['ambience', 'perfect']",ambience perfect
best luck rude noncustomer service focused new management,negative,"['best', 'luck', 'rude', 'noncustomer', 'service', 'focused', 'new', 'management']",best luck rude noncustomer service focused new management
grandmother make roasted chicken better one,negative,"['grandmother', 'make', 'roasted', 'chicken', 'better', 'one']",grandmother make roasted chicken better one
asked multiple times wine list time ignored went hostess got one,negative,"['asked', 'multiple', 'times', 'wine', 'list', 'time', 'ignored', 'went', 'hostess', 'got', 'one']",asked multiple time wine list time ignored went hostess got one
staff always super friendly helpful especially cool bring two small boys baby,positive,"['staff', 'always', 'super', 'friendly', 'helpful', 'especially', 'cool', 'bring', 'two', 'small', 'boys', 'baby']",staff always super friendly helpful especially cool bring two small boy baby
four stars food guy blue shirt great vibe still letting us eat,positive,"['four', 'stars', 'food', 'guy', 'blue', 'shirt', 'great', 'vibe', 'still', 'letting', 'us', 'eat']",four star food guy blue shirt great vibe still letting u eat
roast beef sandwich tasted really good,positive,"['roast', 'beef', 'sandwich', 'tasted', 'really', 'good']",roast beef sandwich tasted really good
evening drastically sick,negative,"['evening', 'drastically', 'sick']",evening drastically sick
highquality chicken chicken caesar salad,positive,"['highquality', 'chicken', 'chicken', 'caesar', 'salad']",highquality chicken chicken caesar salad
ordered burger rare came well done,negative,"['ordered', 'burger', 'rare', 'came', 'well', 'done']",ordered burger rare came well done
promptly greeted seated,positive,"['promptly', 'greeted', 'seated']",promptly greeted seated
tried go lunch madhouse,negative,"['tried', 'go', 'lunch', 'madhouse']",tried go lunch madhouse
proven dead wrong sushi bar not quality great service fast food impeccable,positive,"['proven', 'dead', 'wrong', 'sushi', 'bar', 'not', 'quality', 'great', 'service', 'fast', 'food', 'impeccable']",proven dead wrong sushi bar not quality great service fast food impeccable
waiting hour seated not greatest moods,negative,"['waiting', 'hour', 'seated', 'not', 'greatest', 'moods']",waiting hour seated not greatest mood
good joint,positive,"['good', 'joint']",good joint
macarons insanely good,positive,"['macarons', 'insanely', 'good']",macarons insanely good
waiter attentive friendly informative,positive,"['waiter', 'attentive', 'friendly', 'informative']",waiter attentive friendly informative
maybe not cold would somewhat edible,negative,"['maybe', 'not', 'cold', 'would', 'somewhat', 'edible']",maybe not cold would somewhat edible
place lot promise fails deliver,negative,"['place', 'lot', 'promise', 'fails', 'deliver']",place lot promise fails deliver
bad experience,negative,"['bad', 'experience']",bad experience
food average best,negative,"['food', 'average', 'best']",food average best
great food,positive,"['great', 'food']",great food
not going back anytime soon,negative,"['not', 'going', 'back', 'anytime', 'soon']",not going back anytime soon
disappointed ordered 35 big bay plater,negative,"['disappointed', 'ordered', '35', 'big', 'bay', 'plater']",disappointed ordered 35 big bay plater
great place relax awesome burger beer,positive,"['great', 'place', 'relax', 'awesome', 'burger', 'beer']",great place relax awesome burger beer
perfect sitdown family meal get together friends,positive,"['perfect', 'sitdown', 'family', 'meal', 'get', 'together', 'friends']",perfect sitdown family meal get together friend
not much flavor poorly constructed,negative,"['not', 'much', 'flavor', 'poorly', 'constructed']",not much flavor poorly constructed
patio seating comfortable,positive,"['patio', 'seating', 'comfortable']",patio seating comfortable
fried rice dry well,negative,"['fried', 'rice', 'dry', 'well']",fried rice dry well
hands favorite italian restaurant,positive,"['hands', 'favorite', 'italian', 'restaurant']",hand favorite italian restaurant
screams legit booksomethats also pretty rare vegas,positive,"['screams', 'legit', 'booksomethats', 'also', 'pretty', 'rare', 'vegas']",scream legit booksomethats also pretty rare vega
not fun experience,positive,"['not', 'fun', 'experience']",not fun experience
atmosphere great lovely duo violinists playing songs requested,positive,"['atmosphere', 'great', 'lovely', 'duo', 'violinists', 'playing', 'songs', 'requested']",atmosphere great lovely duo violinist playing song requested
personally love hummus pita baklava falafels baba ganoush amazing eggplant,positive,"['personally', 'love', 'hummus', 'pita', 'baklava', 'falafels', 'baba', 'ganoush', 'amazing', 'eggplant']",personally love hummus pita baklava falafel baba ganoush amazing eggplant
convenient since staying mgm,positive,"['convenient', 'since', 'staying', 'mgm']",convenient since staying mgm
owners super friendly staff courteous,positive,"['owners', 'super', 'friendly', 'staff', 'courteous']",owner super friendly staff courteous
great,positive,['great'],great
eclectic selection,positive,"['eclectic', 'selection']",eclectic selection
sweet potato tots good onion rings perfection close,positive,"['sweet', 'potato', 'tots', 'good', 'onion', 'rings', 'perfection', 'close']",sweet potato tot good onion ring perfection close
staff attentive,positive,"['staff', 'attentive']",staff attentive
chef generous time even came around twice take pictures,positive,"['chef', 'generous', 'time', 'even', 'came', 'around', 'twice', 'take', 'pictures']",chef generous time even came around twice take picture
owner used work nobu place really similar half price,positive,"['owner', 'used', 'work', 'nobu', 'place', 'really', 'similar', 'half', 'price']",owner used work nobu place really similar half price
google mediocre imagine smashburger pop,negative,"['google', 'mediocre', 'imagine', 'smashburger', 'pop']",google mediocre imagine smashburger pop
not go,negative,"['not', 'go']",not go
promise not disappoint,positive,"['promise', 'not', 'disappoint']",promise not disappoint
sushi lover avoid place means,negative,"['sushi', 'lover', 'avoid', 'place', 'means']",sushi lover avoid place mean
great double cheeseburger,positive,"['great', 'double', 'cheeseburger']",great double cheeseburger
awesome service food,positive,"['awesome', 'service', 'food']",awesome service food
fantastic neighborhood gem,positive,"['fantastic', 'neighborhood', 'gem']",fantastic neighborhood gem
cannot wait go back,positive,"['can', 'not', 'wait', 'go', 'back']",can not wait go back
plantains worst ever tasted,negative,"['plantains', 'worst', 'ever', 'tasted']",plantain worst ever tasted
great place highly recommend,positive,"['great', 'place', 'highly', 'recommend']",great place highly recommend
service slow not attentive,negative,"['service', 'slow', 'not', 'attentive']",service slow not attentive
gave 5 stars giving 5 stars,positive,"['gave', '5', 'stars', 'giving', '5', 'stars']",gave 5 star giving 5 star
staff spends time talking,negative,"['staff', 'spends', 'time', 'talking']",staff spends time talking
dessert panna cotta amazing,positive,"['dessert', 'panna', 'cotta', 'amazing']",dessert panna cotta amazing
good food great atmosphere1,positive,"['good', 'food', 'great', 'atmosphere1']",good food great atmosphere1
damn good steak,positive,"['damn', 'good', 'steak']",damn good steak
total brunch fail,negative,"['total', 'brunch', 'fail']",total brunch fail
prices reasonable flavors spot sauce home made slaw not drenched mayo,positive,"['prices', 'reasonable', 'flavors', 'spot', 'sauce', 'home', 'made', 'slaw', 'not', 'drenched', 'mayo']",price reasonable flavor spot sauce home made slaw not drenched mayo
decor nice piano music soundtrack pleasant,positive,"['decor', 'nice', 'piano', 'music', 'soundtrack', 'pleasant']",decor nice piano music soundtrack pleasant
steak amazingrge fillet relleno best seafood plate ever,positive,"['steak', 'amazingrge', 'fillet', 'relleno', 'best', 'seafood', 'plate', 'ever']",steak amazingrge fillet relleno best seafood plate ever
good food good service,positive,"['good', 'food', 'good', 'service']",good food good service
absolutely amazing,positive,"['absolutely', 'amazing']",absolutely amazing
probably not back honest,negative,"['probably', 'not', 'back', 'honest']",probably not back honest
definitely back,positive,"['definitely', 'back']",definitely back
sergeant pepper beef sandwich auju sauce excellent sandwich well,positive,"['sergeant', 'pepper', 'beef', 'sandwich', 'auju', 'sauce', 'excellent', 'sandwich', 'well']",sergeant pepper beef sandwich auju sauce excellent sandwich well
hawaiian breeze mango magic pineapple delight smoothies tried far good,positive,"['hawaiian', 'breeze', 'mango', 'magic', 'pineapple', 'delight', 'smoothies', 'tried', 'far', 'good']",hawaiian breeze mango magic pineapple delight smoothy tried far good
went lunch service slow,negative,"['went', 'lunch', 'service', 'slow']",went lunch service slow
much say place walked expected amazing quickly disappointed,negative,"['much', 'say', 'place', 'walked', 'expected', 'amazing', 'quickly', 'disappointed']",much say place walked expected amazing quickly disappointed
mortified,negative,['mortified'],mortified
needless say never back,negative,"['needless', 'say', 'never', 'back']",needless say never back
anyways food definitely not filling price pay expect,negative,"['anyways', 'food', 'definitely', 'not', 'filling', 'price', 'pay', 'expect']",anyways food definitely not filling price pay expect
chips came dripping grease mostly not edible,negative,"['chips', 'came', 'dripping', 'grease', 'mostly', 'not', 'edible']",chip came dripping grease mostly not edible
not really impressed strip steak,negative,"['not', 'really', 'impressed', 'strip', 'steak']",not really impressed strip steak
going since 2007 every meal awesome,positive,"['going', 'since', '2007', 'every', 'meal', 'awesome']",going since 2007 every meal awesome
server nice attentive serving staff,positive,"['server', 'nice', 'attentive', 'serving', 'staff']",server nice attentive serving staff
cashier friendly even brought food,positive,"['cashier', 'friendly', 'even', 'brought', 'food']",cashier friendly even brought food
work hospitality industry paradise valley refrained recommending cibo longer,negative,"['work', 'hospitality', 'industry', 'paradise', 'valley', 'refrained', 'recommending', 'cibo', 'longer']",work hospitality industry paradise valley refrained recommending cibo longer
atmosphere fun,positive,"['atmosphere', 'fun']",atmosphere fun
would not recommend others,negative,"['would', 'not', 'recommend', 'others']",would not recommend others
service quick even go orders like like,positive,"['service', 'quick', 'even', 'go', 'orders', 'like', 'like']",service quick even go order like like
mean really get famous fish chips terrible,negative,"['mean', 'really', 'get', 'famous', 'fish', 'chips', 'terrible']",mean really get famous fish chip terrible
said mouths bellies still quite pleased,positive,"['said', 'mouths', 'bellies', 'still', 'quite', 'pleased']",said mouth belly still quite pleased
not thing,negative,"['not', 'thing']",not thing
2 thumbs,positive,"['2', 'thumbs']",2 thumb
reading please not go,negative,"['reading', 'please', 'not', 'go']",reading please not go
loved grilled pizza reminded legit italian pizza,positive,"['loved', 'grilled', 'pizza', 'reminded', 'legit', 'italian', 'pizza']",loved grilled pizza reminded legit italian pizza
pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough,positive,"['pros', 'large', 'seating', 'area', 'nice', 'bar', 'area', 'great', 'simple', 'drink', 'menu', 'best', 'brick', 'oven', 'pizza', 'homemade', 'dough']",pro large seating area nice bar area great simple drink menu best brick oven pizza homemade dough
really nice atmosphere,positive,"['really', 'nice', 'atmosphere']",really nice atmosphere
tonight elk filet specialand sucked,negative,"['tonight', 'elk', 'filet', 'specialand', 'sucked']",tonight elk filet specialand sucked
one bite hooked,positive,"['one', 'bite', 'hooked']",one bite hooked
ordered old classics new dishes going times sorely disappointed everything,negative,"['ordered', 'old', 'classics', 'new', 'dishes', 'going', 'times', 'sorely', 'disappointed', 'everything']",ordered old classic new dish going time sorely disappointed everything
cute quaint simple honest,positive,"['cute', 'quaint', 'simple', 'honest']",cute quaint simple honest
chicken deliciously seasoned perfect fry outside moist chicken inside,positive,"['chicken', 'deliciously', 'seasoned', 'perfect', 'fry', 'outside', 'moist', 'chicken', 'inside']",chicken deliciously seasoned perfect fry outside moist chicken inside
food great always compliments chef,positive,"['food', 'great', 'always', 'compliments', 'chef']",food great always compliment chef
special thanks dylan recommendation order yummy tummy,positive,"['special', 'thanks', 'dylan', 'recommendation', 'order', 'yummy', 'tummy']",special thanks dylan recommendation order yummy tummy
awesome selection beer,positive,"['awesome', 'selection', 'beer']",awesome selection beer
great food awesome service,positive,"['great', 'food', 'awesome', 'service']",great food awesome service
